因子名称,类别,方向,IC 均值,IC_IR,IC>0 比例,多空收益,单调性,总收益,夏普比率,最大回撤,胜率,交易次数,综合评分,IC 评分,收益评分,夏普评分,回撤评分,稳定性评分
correlation_breakdown,横截面关系,positive,0.0459879655061913,0.7477162141593615,0.7727272727272727,0.018212,是,0,0,0,0,0,40.0,30.0,0.0,0.0,0.0,10
return_skewness,统计分布,positive,0.014498166587551948,0.19794407178830076,0.5454545454545454,0.007210000000000001,是,0,0,0,0,0,21.876644307298044,11.876644307298045,0.0,0.0,0.0,10
hurst_exponent,统计分布,positive,0.017354523315196786,0.24194458962675394,0.6428571428571429,0.006718999999999999,否,0,0,0,0,0,14.516675377605237,14.516675377605237,0.0,0.0,0.0,0
overreaction_reversal,行为金融,positive,0.012256413155912638,0.1900470298610699,0.5,-0.023740999999999998,否,0,0,0,0,0,11.402821791664193,11.402821791664193,0.0,0.0,0.0,0
return_kurtosis,统计分布,negative,0.009511117049727446,0.1499981501867828,0.5454545454545454,0.005806999999999996,否,0,0,0,0,0,8.99988901120697,8.99988901120697,0.0,0.0,0.0,0
order_flow_imbalance,市场微观结构,positive,0.0017613054737483959,0.027004730196424347,0.5625,-0.0010889999999999997,否,0,0,0,0,0,1.6202838117854608,1.6202838117854608,0.0,0.0,0.0,0
disposition_effect,行为金融,negative,,0.0,,0.0,否,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
alpha_momentum,横截面关系,positive,,0.0,,0.0,否,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
herding_indicator,行为金融,negative,,0.0,,0.0,否,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
price_impact,市场微观结构,negative,-0.02220729408597404,-0.3366707280818035,0.35714285714285715,-0.008737000000000002,是,0,0,0,0,0,-10.200243684908209,-20.20024368490821,0.0,0.0,0.0,10
momentum_acceleration,横截面关系,positive,-0.05284196797752526,-0.4746983143352417,0.23076923076923078,-0.015549000000000002,是,0,0,0,0,0,-18.4818988601145,-28.4818988601145,0.0,0.0,0.0,10
liquidity_shock,市场微观结构,positive,-0.046505581197989095,-0.5101799834441001,0.25,-0.011321000000000005,是,0,0,0,0,0,-20.610799006646005,-30.610799006646005,0.0,0.0,0.0,10
bid_ask_spread,市场微观结构,negative,-0.060159354891666614,-0.40485244411758553,0.25,-0.008517,否,0,0,0,0,0,-24.291146647055132,-24.291146647055132,0.0,0.0,0.0,0
industry_relative_strength,横截面关系,positive,-0.09031340530954497,-0.8213075102418764,0.25,-0.022258000000000003,是,0,0,0,0,0,-39.278450614512586,-49.278450614512586,0.0,0.0,0.0,10
rank_velocity,横截面关系,positive,-0.0906893999491961,-0.8916872615724112,0.25,-0.022819999999999997,是,0,0,0,0,0,-43.50123569434467,-53.50123569434467,0.0,0.0,0.0,10
